date,open,high,low,close,volume
10/24/2022,1340.56,1347.4,1339,1345.68,4169283.953
10/24/2022,1345.53,1351.32,1344.4,1351.3,4503048.022
10/24/2022,1351.3,1352.98,1344.39,1350.11,5173935.651
10/24/2022,1350.11,1350.44,1346.3,1348.45,4119442.702
10/24/2022,1348.39,1354.6,1347.42,1353.52,4091122.938
10/24/2022,1353.4,1354.17,1345.8,1347.22,4146794.784
10/24/2022,1347.27,1350.44,1342.41,1349.41,5667019.874
10/24/2022,1349.33,1349.53,1342.61,1344.92,3651274.729
10/24/2022,1344.83,1351.79,1340.4,1348.49,10178353.19
10/24/2022,1348.25,1348.73,1324,1329.75,12239506.46
10/24/2022,1329.45,1335,1325.93,1334.05,9030147.066
10/24/2022,1334.29,1339.5,1332.14,1336.27,6769941.282
10/24/2022,1336.02,1342.58,1333.41,1341.71,8069209.208
10/24/2022,1341.7,1343.48,1336.72,1338.22,6115379.859
10/24/2022,1338.21,1338.88,1334.4,1335.16,4473963.942
10/24/2022,1335.16,1336.72,1330.61,1330.98,3498842.645
10/24/2022,1330.78,1337.43,1330.68,1334.67,3155067.293
10/24/2022,1334.69,1339.67,1334.13,1338.18,4420367.845
10/24/2022,1338.16,1342.79,1337.28,1341.91,4255237.146
10/24/2022,1341.92,1353.1,1341.41,1346.93,7148661.479
10/24/2022,1346.81,1348.15,1342.65,1344.91,3609319.307
10/24/2022,1344.91,1349.53,1343.15,1348.7,4496245.56
10/24/2022,1348.61,1352.46,1346.27,1350.77,4406560.676
10/24/2022,1350.71,1359.3,1345.99,1348.13,4548564.462
